Date;Open;High;Low;Close;Adj Close;Volume
26/11/2018;3.980.000.000;4.000.000.000;3.950.000.000;3.990.000.000;3.439.531.250;43879100
27/11/2018;3.940.000.000;3.950.000.000;3.850.000.000;3.880.000.000;3.344.707.275;116422400
28/11/2018;3.890.000.000;3.900.000.000;3.710.000.000;3.720.000.000;3.206.781.250;195860500
29/11/2018;3.770.000.000;3.810.000.000;3.710.000.000;3.740.000.000;3.224.021.973;120921500
30/11/2018;3.760.000.000;3.780.000.000;3.680.000.000;3.680.000.000;3.172.299.561;151545800
03/12/2018;3.740.000.000;3.770.000.000;3.700.000.000;3.700.000.000;3.189.540.283;106891000
04/12/2018;3.720.000.000;3.780.000.000;3.720.000.000;3.780.000.000;3.258.503.418;121586400
05/12/2018;3.740.000.000;3.800.000.000;3.730.000.000;3.770.000.000;3.249.883.057;58424400
06/12/2018;3.740.000.000;3.770.000.000;3.700.000.000;3.710.000.000;3.198.160.889;62164100
07/12/2018;3.700.000.000;3.710.000.000;3.660.000.000;3.670.000.000;3.163.679.443;92902000
10/12/2018;3.650.000.000;3.720.000.000;3.610.000.000;3.680.000.000;3.172.299.561;70093700
11/12/2018;3.640.000.000;3.670.000.000;3.610.000.000;3.620.000.000;3.120.577.148;88050700
12/12/2018;3.660.000.000;3.670.000.000;3.620.000.000;3.650.000.000;3.146.438.477;87333000
13/12/2018;3.680.000.000;3.780.000.000;3.660.000.000;3.750.000.000;3.232.642.334;118965900
14/12/2018;3.800.000.000;3.840.000.000;3.730.000.000;3.730.000.000;3.215.401.611;139547100
17/12/2018;3.740.000.000;3.770.000.000;3.710.000.000;3.710.000.000;3.198.160.889;86251600
18/12/2018;3.700.000.000;3.740.000.000;3.680.000.000;3.740.000.000;3.224.021.973;79833100
19/12/2018;3.740.000.000;3.810.000.000;3.740.000.000;3.810.000.000;3.284.364.502;81542500
20/12/2018;3.810.000.000;3.810.000.000;3.720.000.000;3.740.000.000;3.224.021.973;100129200
21/12/2018;3.700.000.000;3.770.000.000;3.700.000.000;3.760.000.000;3.241.262.695;114752300
