Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,3.830.000.000,3.830.000.000,3.830.000.000,3.830.000.000,3.272.471.191,0
2018-04-30,3.750.000.000,3.870.000.000,3.750.000.000,3.830.000.000,3.272.471.191,95418200
2018-05-01,3.830.000.000,3.830.000.000,3.830.000.000,3.830.000.000,3.272.471.191,0
2018-05-02,3.810.000.000,3.880.000.000,3.780.000.000,3.870.000.000,3.306.648.682,118872100
2018-05-03,3.850.000.000,3.860.000.000,3.740.000.000,3.740.000.000,3.195.572.754,91601300
2018-05-04,3.700.000.000,3.750.000.000,3.650.000.000,3.730.000.000,3.187.028.076,80894300
2018-05-07,3.750.000.000,3.820.000.000,3.730.000.000,3.800.000.000,3.246.837.891,97351600
2018-05-08,3.650.000.000,3.670.000.000,3.570.000.000,3.620.000.000,3.120.577.148,107379900
2018-05-09,3.600.000.000,3.780.000.000,3.530.000.000,3.700.000.000,3.189.540.283,149687500
2018-05-10,3.700.000.000,3.700.000.000,3.700.000.000,3.700.000.000,3.189.540.283,0
2018-05-11,3.700.000.000,3.750.000.000,3.620.000.000,3.630.000.000,3.129.197.754,120995700
2018-05-14,3.560.000.000,3.610.000.000,3.500.000.000,3.540.000.000,3.051.614.258,161018200
2018-05-15,3.520.000.000,3.530.000.000,3.350.000.000,3.370.000.000,2.905.067.871,230994800
2018-05-16,3.280.000.000,3.530.000.000,3.250.000.000,3.480.000.000,2.999.892.090,205406800
2018-05-17,3.510.000.000,3.610.000.000,3.490.000.000,3.490.000.000,3.008.512.451,179026500
2018-05-18,3.520.000.000,3.530.000.000,3.400.000.000,3.490.000.000,3.008.512.451,75748600
2018-05-21,3.490.000.000,3.490.000.000,3.410.000.000,3.420.000.000,2.948.169.922,57210900
2018-05-22,3.420.000.000,3.500.000.000,3.420.000.000,3.470.000.000,2.991.271.729,78667200
2018-05-23,3.460.000.000,3.530.000.000,3.450.000.000,3.470.000.000,2.991.271.729,110630200
2018-05-24,3.480.000.000,3.590.000.000,3.480.000.000,3.560.000.000,3.068.854.980,84178300
2018-05-25,3.540.000.000,3.590.000.000,3.530.000.000,3.560.000.000,3.068.854.980,66374400
2018-05-28,3.580.000.000,3.700.000.000,3.560.000.000,3.690.000.000,3.180.920.166,90299200
2018-05-29,3.690.000.000,3.690.000.000,3.690.000.000,3.690.000.000,3.180.920.166,0
2018-05-30,3.600.000.000,3.730.000.000,3.590.000.000,3.600.000.000,3.103.336.426,148933500
2018-05-31,3.600.000.000,3.610.000.000,3.500.000.000,3.520.000.000,3.034.373.779,255204300
2018-06-01,3.520.000.000,3.520.000.000,3.520.000.000,3.520.000.000,3.034.373.779,0
2018-06-04,3.540.000.000,3.660.000.000,3.530.000.000,3.640.000.000,3.137.817.871,141754800
2018-06-05,3.680.000.000,3.860.000.000,3.660.000.000,3.830.000.000,3.301.605.225,181376800
2018-06-06,3.790.000.000,3.830.000.000,3.760.000.000,3.790.000.000,3.267.123.779,143554900
2018-06-07,3.800.000.000,3.830.000.000,3.770.000.000,3.770.000.000,3.249.883.057,122724300
2018-06-08,3.710.000.000,3.730.000.000,3.600.000.000,3.610.000.000,3.111.957.031,260396300
2018-06-11,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-12,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-13,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-14,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-15,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-18,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-19,3.610.000.000,3.610.000.000,3.610.000.000,3.610.000.000,3.111.957.031,0
2018-06-20,3.540.000.000,3.710.000.000,3.510.000.000,3.710.000.000,3.198.160.889,295386100
2018-06-21,3.650.000.000,3.700.000.000,3.610.000.000,3.610.000.000,3.111.957.031,123848500
2018-06-22,3.610.000.000,3.630.000.000,3.540.000.000,3.580.000.000,3.086.095.703,121490900
2018-06-25,3.630.000.000,3.690.000.000,3.600.000.000,3.660.000.000,3.155.058.838,97826600
2018-06-26,3.600.000.000,3.700.000.000,3.600.000.000,3.690.000.000,3.180.920.166,91252300
2018-06-27,3.690.000.000,3.780.000.000,3.690.000.000,3.710.000.000,3.198.160.889,106616500
2018-06-28,3.700.000.000,3.720.000.000,3.660.000.000,3.660.000.000,3.155.058.838,133779300
2018-06-29,3.650.000.000,3.750.000.000,3.640.000.000,3.750.000.000,3.232.642.334,79116600
2018-07-02,3.800.000.000,3.800.000.000,3.710.000.000,3.750.000.000,3.232.642.334,55810800
2018-07-03,3.740.000.000,3.740.000.000,3.670.000.000,3.700.000.000,3.189.540.283,79439500
2018-07-04,3.700.000.000,3.810.000.000,3.630.000.000,3.760.000.000,3.241.262.695,54884500
2018-07-05,3.800.000.000,3.830.000.000,3.760.000.000,3.830.000.000,3.301.605.225,59717900
2018-07-06,3.850.000.000,3.890.000.000,3.830.000.000,3.860.000.000,3.327.466.553,67655200
2018-07-09,3.900.000.000,4.000.000.000,3.880.000.000,3.980.000.000,3.430.911.133,68798500
2018-07-10,3.990.000.000,4.050.000.000,3.960.000.000,4.030.000.000,3.474.012.695,118127300
2018-07-11,4.000.000.000,4.080.000.000,3.960.000.000,4.060.000.000,3.499.874.023,144055300
2018-07-12,4.050.000.000,4.110.000.000,4.040.000.000,4.100.000.000,3.534.355.469,114531700
2018-07-13,4.080.000.000,4.100.000.000,3.970.000.000,4.020.000.000,3.465.392.578,120852800
2018-07-16,3.970.000.000,4.030.000.000,3.860.000.000,3.940.000.000,3.396.429.688,66229700
2018-07-17,3.970.000.000,3.970.000.000,3.890.000.000,3.940.000.000,3.396.429.688,53740400
2018-07-18,3.910.000.000,4.030.000.000,3.890.000.000,4.010.000.000,3.456.771.973,75157800
2018-07-19,4.000.000.000,4.000.000.000,3.910.000.000,3.910.000.000,3.370.568.115,65340900
2018-07-20,3.900.000.000,3.990.000.000,3.890.000.000,3.990.000.000,3.439.531.250,66456000
2018-07-23,4.030.000.000,4.090.000.000,4.010.000.000,4.060.000.000,3.499.874.023,74605900
2018-07-24,4.090.000.000,4.090.000.000,4.030.000.000,4.030.000.000,3.474.012.695,64353800
2018-07-25,4.060.000.000,4.060.000.000,3.900.000.000,3.900.000.000,3.361.947.998,55617500
2018-07-26,3.920.000.000,3.940.000.000,3.890.000.000,3.930.000.000,3.387.808.838,55761900
2018-07-27,3.910.000.000,3.950.000.000,3.890.000.000,3.940.000.000,3.396.429.688,52506800
2018-07-30,3.890.000.000,3.950.000.000,3.890.000.000,3.910.000.000,3.370.568.115,49045100
2018-07-31,3.830.000.000,3.830.000.000,3.550.000.000,3.570.000.000,3.077.475.586,339081700
2018-08-01,3.570.000.000,3.600.000.000,3.500.000.000,3.550.000.000,3.060.234.619,190720900
2018-08-02,3.550.000.000,3.590.000.000,3.450.000.000,3.500.000.000,3.017.132.813,171276100
2018-08-03,3.480.000.000,3.490.000.000,3.430.000.000,3.460.000.000,2.982.651.367,224005400
2018-08-06,3.480.000.000,3.670.000.000,3.480.000.000,3.650.000.000,3.146.438.477,231846400
2018-08-07,3.650.000.000,3.670.000.000,3.570.000.000,3.580.000.000,3.086.095.703,111024900
2018-08-08,3.600.000.000,3.600.000.000,3.520.000.000,3.550.000.000,3.060.234.619,109077400
2018-08-09,3.520.000.000,3.550.000.000,3.490.000.000,3.490.000.000,3.008.512.451,110452900
2018-08-10,3.510.000.000,3.540.000.000,3.480.000.000,3.500.000.000,3.017.132.813,79851700
2018-08-13,3.440.000.000,3.450.000.000,3.360.000.000,3.370.000.000,2.905.067.871,106124800
2018-08-14,3.360.000.000,3.440.000.000,3.330.000.000,3.350.000.000,2.887.826.904,108189200
